PESQUISADOR,DESCRIÇÃO
Chang Hung Kiang,"MALAGUTTI FILHO, W; DOURADO, J. C.; Fábio Taioli; Jorge Kazuo Yamamoto; RODRIGUES, J. E.; CHANG, H.K.. Comissão Examinadora do concurso para obtenção do título de Livre Docente na disciplina ""Métodos geoelétricos aplicados à hidrogeologia"" (Membro suplente).
					2006. Universidade Estadual Paulista Júlio de Mesquita Filho."
Chang Hung Kiang,"CHANG, H.K.. Comissão Examinadora do Concurso para obtenção do título de Livre-Docente, junto ao Departamento de Geologia Aplicada - IGCE.
					2005. Universidade Estadual Paulista."
Chang Hung Kiang,"CHANG, H.K.. Comissão julgadora do concurso de livre-docência do Departamento de Geologia Sedimentar e Ambiental no Instituto de Geociências da Universidade de São Paulo..
					2004. USP - Escola de Engenharia de São Carlos."
Chang Hung Kiang,"CHANG, H.K.. Comissão Julgadora do Concurso para livre docência junto ao Departamento de Hidráulica e Saneamento, na Área de Hidráulica de Águas Subterrâneas e SHS-5896, Modelos Matemáticos e Métodos Numéricos em Recursos Hídricos ? USP ? São Carlos..
					2004. USP - Escola de Engenharia de São Carlos."
Chang Hung Kiang,"CHANG, H.K.; MACHADO, R.; SANT'ANNA NETO, J. L.. Comissão de Especialistas Premio de Reconhecimento Acadêmico Zeferino Vaz-2016.
						2016.
						INSTITUTO DE GEOCÊNCIAS - UNICAMP."
Chang Hung Kiang,"CHANG, H.K.; GASTMANS, D.; OLIVA, A.. Comissão examinadora do exame de qualificação de Marcelo Martins Reis - mestrado.
						2010.
						Universidade Estadual Paulista Júlio de Mesquita Filho."
Chang Hung Kiang,"CHANG, H.K.; SILVA, F. P.; GASTMANS, D.. Comissão examinadora do exame de qualificação de Andrea Segura Franzini - mestrado.
						2009.
						Universidade Estadual Paulista Júlio de Mesquita Filho."
Chang Hung Kiang,"CHANG, H.K.; PERINOTTO, J.A.J.; KRAHENBUHL, F.M.. Comissão Examinadora do Exame de Qualificação de Carlos da Silva Rosa, nível mestrado.
						2007.
						Universidade Estadual Paulista Júlio de Mesquita Filho."
Chang Hung Kiang,"CHANG, H.K.; DOMINGOS, R.N.; KRUSCHE, A.V.. Comissão Examinadora do Exame de Qualificação de Beatriz Machado Gomes.
						2007.
						Universidade Estadual Paulista Júlio de Mesquita Filho."
Chang Hung Kiang,"CHANG, H.K.; VIDAL, A. C.; SILVA, F. P.. Comissão Examinadora do Exame de Qualificação de Marcia Regina Stradioto.
						2006.
						Universidade Estadual Paulista Júlio de Mesquita Filho."
Chang Hung Kiang,"SINELLI, O.; CHANG, H.K.; VIDAL, A. C.. Comissão Examinadora do Exame de Qualificação de Elias Hideo Teramoto, nível mestrado.
						2006.
						Universidade Estadual Paulista Júlio de Mesquita Filho."
Chang Hung Kiang,"CHANG, H.K.; SILVA, F. P.; VIDAL, A. C.. Comissão Examinadora do Exame geral de Qualificação de Dagmar Carnier Neto, em nível de mestrado.
						2005.
						Universidade Estadual Paulista Júlio de Mesquita Filho."
Chang Hung Kiang,II Congresso Estadual de Comitês de Bacia Hidrográfica. Regionalização de diretrizes de utilização e proteção das águas subterrâneas: projeto bacias do leste. 2010. (Congresso).
Chang Hung Kiang,"CHANG, H.K.. Membro da Comissão Organizadora do XVI Congresso Brasileiro de Águas Subterrâneas e XVII Encontro Nacional de Perfuradores de Poços.. 2010. (Congresso)."
Chang Hung Kiang,"CHANG, H.K.. Membro do Comitê do I CIMAS. 2009. (Congresso)."
